1	6
1	13
1	17
1	20
1	28
1	29
1	51
1	53
1	59
1	76
1	98
1	110
1	113
1	121
1	126
1	128
2	7
2	13
2	19
2	20
2	28
2	29
2	45
2	53
2	63
2	70
2	76
2	98
2	107
2	120
2	121
2	128
3	27
3	42
3	46
3	50
3	54
3	56
3	61
3	62
3	63
3	71
3	74
3	79
3	80
3	94
3	104
3	125
4	6
4	10
4	18
4	26
4	30
4	40
4	73
4	75
4	82
4	90
4	100
4	101
4	104
4	109
4	111
4	123
5	11
5	14
5	24
5	25
5	38
5	48
5	55
5	60
5	77
5	91
5	95
5	96
5	97
5	118
5	122
5	126
6	1
6	4
6	26
6	30
6	32
6	40
6	43
6	61
6	73
6	84
6	87
6	93
6	100
6	111
6	123
6	124
7	2
7	12
7	19
7	22
7	28
7	43
7	45
7	49
7	51
7	59
7	70
7	82
7	98
7	116
7	120
7	121
8	24
8	25
8	34
8	36
8	38
8	41
8	55
8	58
8	68
8	81
8	83
8	85
8	95
8	96
8	106
8	122
9	15
9	16
9	23
9	24
9	31
9	42
9	46
9	50
9	54
9	64
9	69
9	79
9	81
9	102
9	104
9	119
10	4
10	12
10	18
10	26
10	32
10	39
10	52
10	62
10	67
10	73
10	83
10	90
10	101
10	122
10	123
10	127
11	5
11	16
11	36
11	38
11	41
11	55
11	60
11	65
11	68
11	79
11	91
11	95
11	96
11	100
11	108
11	115
12	7
12	10
12	18
12	40
12	55
12	67
12	73
12	75
12	87
12	90
12	100
12	101
12	103
12	106
12	124
12	127
13	1
13	2
13	22
13	29
13	45
13	59
13	66
13	76
13	86
13	88
13	92
13	101
13	105
13	110
13	120
13	126
14	5
14	35
14	36
14	38
14	58
14	60
14	65
14	77
14	81
14	85
14	95
14	96
14	97
14	103
14	117
14	122
15	9
15	27
15	42
15	44
15	49
15	50
15	63
15	71
15	72
15	74
15	78
15	80
15	94
15	99
15	104
15	119
16	9
16	11
16	41
16	48
16	55
16	57
16	58
16	77
16	83
16	89
16	91
16	95
16	96
16	97
16	108
16	115
17	1
17	29
17	40
17	49
17	53
17	86
17	92
17	105
17	107
17	110
17	112
17	113
17	116
17	120
17	124
17	126
18	4
18	10
18	12
18	23
18	26
18	37
18	40
18	47
18	62
18	67
18	86
